"window","1","2","3","<NA>","prop_x","prop_y","mean_dist"
1,0,21,3,1,0.4375,0.5625,23.42185793912
6,0,22,2,1,0.458333333333333,0.541666666666667,33.19464223412
11,0,21,4,0,0.42,0.58,43.1332639662
16,0,21,4,0,0.42,0.58,51.76145898
21,0,21,4,0,0.42,0.58,54.3403666312
26,0,18,7,0,0.36,0.64,56.5575112236
31,0,17,8,0,0.34,0.66,58.6077343128
36,0,16,9,0,0.32,0.68,60.1755489108
41,0,14,11,0,0.28,0.72,61.1013255832
46,0,16,9,0,0.32,0.68,61.9725962316
51,1,18,6,0,0.4,0.6,62.9367682396
56,1,17,7,0,0.38,0.62,63.9914665936
61,1,18,6,0,0.4,0.6,64.9657230272
66,1,18,6,0,0.4,0.6,65.9508193376
71,1,17,7,0,0.38,0.62,67.11016306
76,0,18,7,0,0.36,0.64,68.3964836736
81,0,19,6,0,0.38,0.62,69.572632176
86,0,21,4,0,0.42,0.58,71.03995067
91,0,22,3,0,0.44,0.56,73.9485212508
96,1,21,3,0,0.46,0.54,77.0647315788
101,1,21,3,0,0.46,0.54,79.9663479312
106,2,19,4,0,0.46,0.54,82.7489383396
111,2,17,6,0,0.42,0.58,85.147319142
116,5,15,5,0,0.5,0.5,86.0341013148
121,5,15,5,0,0.5,0.5,86.459795292
126,6,14,5,0,0.52,0.48,87.1179313704
131,7,15,3,0,0.58,0.42,88.6426318796
136,11,13,1,0,0.7,0.3,90.3061469136
141,12,12,1,0,0.72,0.28,92.3960232072
146,15,10,0,0,0.8,0.2,95.4087786468
151,19,6,0,0,0.88,0.12,98.3467967096
156,22,3,0,0,0.94,0.06,100.71120406
161,21,3,1,0,0.9,0.1,103.4489583896
166,21,3,1,0,0.9,0.1,108.379734444
171,21,3,1,0,0.9,0.1,114.094637752
176,19,5,1,0,0.86,0.14,120.92938008
181,19,5,1,0,0.86,0.14,129.461460524
